id,name,league_id,logo,slug,sofifa_url,tactics_video_url,faces_video_url,founded_year,stadium,capacity,city,nickname,members
124,Al-Nassr,17,img/equipos/Al-Nassr FC.png,al-nassr,https://sofifa.com/squad/2233485,,,1955,Al -Awwal Park,"25,000",Riad,Faris Najd,Desconocido
57,Alavés,5,img/equipos/Deportivo Alavés.png,deportivo-alaves,https://sofifa.com/squad/2289929,,,1921,Mendizorrotza,19.840,Vitoria-Gasteiz,El Glorioso,Desconocido
29,Aldosivi,1,img/equipos/Club Atletico Aldosivi.png,aldosivi,https://sofifa.com/squad/2216493,,,1913,José María Minella,35.300,Buenos Aires,Tiburón,15.000
116,Alianza Lima,14,img/equipos/Alianza Lima.png,alianza-lima,,,,1901,Estadio Alejandro Villanueva,35.084,Lima,Blanquiazules,Desconocido
105,América de Cali,11,img/equipos/America de Cali.png,america-de-cali,https://sofifa.com/squad/2241849,,,1927,Estadio Olímpico Pascual Guerrero,35.405,Cali,Los Diablos Rojos,Desconocido
19,Argentinos Juniors,1,img/equipos/Argentinos Juniors.png,argentinos-juniors,https://sofifa.com/squad/2211948,,,1904,Diego Armando Maradona,26.000,Buenos Aires,Bicho,36.500
31,Arsenal,2,img/equipos/Arsenal.png,arsenal,https://sofifa.com/squad/2223652,,,1886,Emirates Stadium,60.704,Londres,Gunners,Desconocido
32,Aston Villa,2,img/equipos/Aston Villa.png,aston-villa,https://sofifa.com/squad/2271177,,,1874,Villa Park,42.682,Birmingham,Villans,Desconocido
58,Athletic Club,5,img/equipos/Athletic Club.png,athletic-club,https://sofifa.com/squad/2286711,,,1898,San Mamés,53.289,Bilbao,Los Leones,Desconocido
106,Atlético Bucaramanga,11,img/equipos/CA Bucaramanga.png,atletico-bucaramanga,https://sofifa.com/squad/2242004,,,1949,Estadio Alfonso López,25.000,Bucaramanga,Leopardos,Desconocido
59,Atlético de Madrid,5,img/equipos/Atlético de Madrid.png,atletico-de-madrid,https://sofifa.com/squad/2217322,,,1903,Cívitas Metropolitano,70.460,Madrid,Los Colchoneros,Desconocido
80,Atlético Mineiro,7,img/equipos/Atlético-MG.png,atletico-mg,https://sofifa.com/squad/2306918,,,1908,Arena MRV,46.000,Belo Horizonte,Galo,106.452 (ago 2025)
107,Atlético Nacional,11,img/equipos/Club Atletico Nacional.png,atletico-nacional,https://sofifa.com/squad/2237670,,,1947,Estadio Atanasio Girardot,45.000,Medellín,Rey de Copas,Desconocido
20,Atlético Tucumán,1,img/equipos/Club Atletico Tucuman.png,atletico-tucuman,https://sofifa.com/squad/2213261,,,1902,Monumental José Fierro,35.200,Tucumán,Decano,35.000
81,Bahia,7,img/equipos/Bahia.png,bahia,https://sofifa.com/squad/2306916,,,1931,Arena Fonte Nova,50.025,Salvador,Esquadrão de Aço,77.000 (jun 2025)
21,Banfield,1,img/equipos/Club Atletico Banfield.png,banfield,https://sofifa.com/squad/2212753,,,1896,Florencio Sola,34.901,Buenos Aires,Taladro,27.000
60,Barcelona,5,img/equipos/F.C. Barcelona.png,fc-barcelona,https://sofifa.com/squad/2215522,https://youtu.be/l_iZ0wlV7wc?si=p8ESzSZ7xwtSm0pH,,1899,Estadio Olímpico Lluís Companys*,55.926,Barcelona,El Barça,Desconocido
110,Barcelona SC,12,img/equipos/Barcelona SC.png,barcelona-sc,,,,1925,Estadio Monumental Isidro Romero Carbo,57.267,Guayaquil,Toreros,Desconocido
26,Barracas Central,1,img/equipos/CA Barracas Central.png,barracas-central,https://sofifa.com/squad/2212785,,,1904,Claudio Chiqui Tapia,4.400,Buenos Aires,Guapo,1.500
77,Bayer 04 Leverkusen,6,img/equipos/Bayer 04 Leverkusen.png,bayer-04-leverkusen,https://sofifa.com/squad/2228088,,,1904,BayArena,30.210,Leverkusen,Die Werkself,70.000
79,Bayern München,6,img/equipos/FC Bayern Munchen.png,bayern-munchen,https://sofifa.com/squad/2223432,,,1900,Allianz Arena,75.024,Múnich,Die Roten,432.500
9,Belgrano,1,img/equipos/Club Atletico Belgrano.png,belgrano,https://sofifa.com/squad/2211983,,,1905,Gigante de Alberdi,33.000,Córdoba,Pirata,65.139
2,Boca Juniors,1,img/equipos/Boca Juniors.png,boca-juniors,https://sofifa.com/squad/2211126,None,None,1905,La Bombonera,57.200,Buenos Aires,Xeneizes,323.586
103,Bolívar,10,img/equipos/Club Bolivar.png,bolivar,https://sofifa.com/squad/2218561,,,1925,Estadio Hernando Siles,41.143,La Paz,La Academia Celeste,Desconocido
78,Borussia Dortmund,6,img/equipos/Borussia Dortmund.png,borussia-dortmund,https://sofifa.com/squad/2228100,,,1909,Signal Iduna Park,81.365,Dortmund,Die Schwarzgelben,230.000
82,Botafogo,7,img/equipos/Botafogo.png,botafogo,https://sofifa.com/squad/2306913,,,1894,Estádio Nilton Santos,46.831,Río de Janeiro,Alvinegro,67.000+ (sep 2024)
33,Bournemouth,2,img/equipos/Bournemouth.png,bournemouth,https://sofifa.com/squad/2266683,,,1899,Vitality Stadium,11.379,Bournemouth,Cherries,Desconocido
34,Brentford,2,img/equipos/Brentford.png,brentford,https://sofifa.com/squad/2270961,,,1889,Gtech Community Stadium,17.250,Londres,Bees,Desconocido
35,Brighton & Hove Albion,2,img/equipos/Brighton & Hove Albion.png,brighton-hove-albion,https://sofifa.com/squad/2270285,,,1901,American Express Stadium,31.876,Brighton,Seagulls,Desconocido
36,Burnley,2,img/equipos/Burnley.png,burnley,https://sofifa.com/squad/2271205,,,1882,Turf Moor,21.944,Burnley,Clarets,Desconocido
122,Carabobo F.C.,16,img/equipos/Carabobo FC.png,carabobo-fc,,,,1997,Polideportivo Misael Delgado,10.400,Valencia,Granates,Desconocido
83,Ceará,7,img/equipos/Ceará.png,ceara,https://sofifa.com/squad/2306905,,,1914,Arena Castelão,63.903,Fortaleza,Vozão,Desconocido
62,Celta,5,img/equipos/R.C. Celta de Vigo.png,rcd-celta-de-vigo,https://sofifa.com/squad/2292501,,,1923,Abanca Balaídos,29.000,Vigo,Os Celestes,Desconocido
10,Central Córdoba (SdE),1,img/equipos/Club Atletico Central Cordoba.png,central-cordoba-sde,https://sofifa.com/squad/2212798,,,1919,Alfredo Terrera,21.500,Santiago del Estero,Ferroviario,33.155
113,Cerro Porteño,13,img/equipos/Cerro Porteño.png,cerro-porteno,,,,1912,Estadio General Pablo Rojas,45.000,Asunción,El Ciclón,Desconocido
37,Chelsea,2,img/equipos/Chelsea.png,chelsea,https://sofifa.com/squad/2224390,,,1905,Stamford Bridge,40.343,Londres,Blues,Desconocido
100,Colo Colo,8,img/equipos/Colo Colo.png,colo-colo,https://sofifa.com/squad/2237546,,,1925,Estadio Monumental,47.347,Santiago,Cacique,58.500
84,Corinthians,7,img/equipos/Corinthians.png,corinthians,https://sofifa.com/squad/2305953,,,1910,Neo Química Arena,47.605,São Paulo,Timão,Desconocido
85,Cruzeiro,7,img/equipos/Cruzeiro.png,cruzeiro,https://sofifa.com/squad/2305949,,,1921,Mineirão,61.927,Belo Horizonte,Raposa,95.000 (sep 2025)
38,Crystal Palace,2,img/equipos/Crystal Palace.png,crystal-palace,https://sofifa.com/squad/2271230,,,1905,Selhurst Park,25.486,Londres,Eagles,Desconocido
22,Defensa y Justicia,1,img/equipos/Club Social y Deportivo Defensa y Justicia.png,defensa-y-justicia,https://sofifa.com/squad/2213233,,,1935,Norberto Tomaghello,20.000,Buenos Aires,Halcón,12.000
23,Deportivo Riestra,1,img/equipos/Club Deportivo Riestra.png,deportivo-riestra,https://sofifa.com/squad/2211292,,,1931,Guillermo Laza,3.000,Buenos Aires,Blanquinegro,1.000
123,Deportivo Táchira,16,img/equipos/Deportivo Tachira.png,deportivo-tachira,,,,1974,Estadio Pueblo Nuevo,38.755,San Cristóbal,Aurinegros,Desconocido
63,Elche,5,img/equipos/Elche C.F..png,elche-cf,https://sofifa.com/squad/2294420,,,1923,Manuel Martínez Valero,33.732,Elche,Franjiverdes,Desconocido
64,Espanyol,5,img/equipos/R.C.D. Espanyol.png,rcd-espanyol,https://sofifa.com/squad/2302728,,,1900,Stage Front Stadium,40.000,Barcelona,Pericos,Desconocido
27,Estudiantes (LP),1,img/equipos/Club Estudiantes de La Plata.png,estudiantes-lp,https://sofifa.com/squad/2211227,,,1905,Jorge Luis Hirschi,30.000,Buenos Aires,Pincha,60.000
39,Everton,2,img/equipos/Everton.png,everton,https://sofifa.com/squad/2271542,,,1878,Hill Dickinson Stadium (a partir de 2025/26),~53.000 (aproximado),Liverpool,Toffees,Desconocido
86,Flamengo,7,img/equipos/Flamengo.png,flamengo,https://sofifa.com/squad/2305912,,,1895,Maracanã,78.838,Río de Janeiro,Mengão,Desconocido
87,Fluminense,7,img/equipos/Fluminense.png,fluminense,https://sofifa.com/squad/2305903,,,1902,Maracanã,78.838,Río de Janeiro,Tricolor,Desconocido
88,Fortaleza,7,img/equipos/Fortaleza.png,fortaleza,https://sofifa.com/squad/2305899,,,1918,Arena Castelão,63.903,Fortaleza,Leão,Desconocido
40,Fulham,2,img/equipos/Fulham.png,fulham,https://sofifa.com/squad/2271749,,,1879,Craven Cottage,24.500,Londres,Cottagers,Desconocido
65,Getafe,5,img/equipos/Getafe C.F..png,getafe-cf,https://sofifa.com/squad/2304601,,,1983,Coliseum,17.000,Getafe,Azulones,Desconocido
11,Gimnasia (LP),1,img/equipos/Club de Gimnasia y Esgrima La Plata.png,gimnasia-lp,https://sofifa.com/squad/2212486,,,1887,Juan Carmelo Zerillo,31.461,Buenos Aires,Lobo,55.437
66,Girona,5,img/equipos/Girona F.C..png,girona-fc,https://sofifa.com/squad/2304903,,,1930,Montilivi,14.624,Gerona,Blanquivermells,Desconocido
